id,name,policy,status,before_nodes,before_n_nodes,before_inputs,before_internal_nodes,before_nonconstant_rules,before_constant_rules,before_vacuous,before_out_uniform,before_out_uniform_nonvacuous,before_locally_unate,before_MIN,before_MAX,before_MIN_MAX,before_is_conjunctive,before_is_disjunctive,before_is_AND_NOT,before_is_OR_NOT,before_is_AND_OR_NOT,before_is_AND_OR,before_is_AND_OR_NAND_NOR,before_AND_OR_NOT_out_uniform,before_AND_OR_NAND_NOR,before_AND_OR_NAND_NOR_out_uniform,before_homogeneous_MIN,before_homogeneous_MAX,before_signed_operator_homogeneous_AND,before_signed_operator_homogeneous_OR,before_homogeneous_gate,before_positive_AND,before_positive_OR,before_affine,before_reciprocal_support,before_all_internal_self_regulated,before_all_self_loop,before_self_loop_count,before_is_monotone,before_switchable_to_monotone,before_positive_edges,before_negative_edges,before_non_unate_edges,before_has_multi_input_rule,before_edges,before_max_indegree,after_nodes,after_n_nodes,after_inputs,after_internal_nodes,after_nonconstant_rules,after_constant_rules,after_vacuous,after_out_uniform,after_out_uniform_nonvacuous,after_locally_unate,after_MIN,after_MAX,after_MIN_MAX,after_is_conjunctive,after_is_disjunctive,after_is_AND_NOT,after_is_OR_NOT,after_is_AND_OR_NOT,after_is_AND_OR,after_is_AND_OR_NAND_NOR,after_AND_OR_NOT_out_uniform,after_AND_OR_NAND_NOR,after_AND_OR_NAND_NOR_out_uniform,after_homogeneous_MIN,after_homogeneous_MAX,after_signed_operator_homogeneous_AND,after_signed_operator_homogeneous_OR,after_homogeneous_gate,after_positive_AND,after_positive_OR,after_affine,after_reciprocal_support,after_all_internal_self_regulated,after_all_self_loop,after_self_loop_count,after_is_monotone,after_switchable_to_monotone,after_positive_edges,after_negative_edges,after_non_unate_edges,after_has_multi_input_rule,after_edges,after_max_indegree,bijection_verified,fixed_points_exact,fixed_points_count_or_lower_bound,all_rules_out_uniform,after_signed_operator_homogeneous,error,before_signed_operator_homogeneous
295577_1,Human rheumatoid arthritis synovial fibroblast bone erosion.sbml,min_growth,complete,225,225,75,150,150,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,317,32,0,True,349,18,83,83,75,8,8,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,8,False,False,95,75,18,True,188,50,True,False,257,False,,,
295577_1,Human rheumatoid arthritis synovial fibroblast bone erosion.sbml,random,complete,225,225,75,150,150,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,317,32,0,True,349,18,83,83,75,8,8,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,8,False,False,159,65,40,True,264,65,True,False,257,False,,,
295576_1,Human rheumatoid arthritis synovial fibroblast Inflammation.sbml,first,complete,240,240,77,163,163,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,344,34,0,True,378,18,85,85,77,8,8,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,8,False,False,114,61,35,True,210,60,True,False,257,False,,,
295576_1,Human rheumatoid arthritis synovial fibroblast Inflammation.sbml,min_degree,complete,240,240,77,163,163,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,344,34,0,True,378,18,85,85,77,8,8,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,8,False,False,119,69,41,True,229,60,True,False,257,False,,,
295576_1,Human rheumatoid arthritis synovial fibroblast Inflammation.sbml,min_growth,complete,240,240,77,163,163,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,344,34,0,True,378,18,85,85,77,8,8,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,8,False,False,95,75,18,True,188,50,True,False,257,False,,,
295576_1,Human rheumatoid arthritis synovial fibroblast Inflammation.sbml,random,complete,240,240,77,163,163,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,344,34,0,True,378,18,85,85,77,8,8,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,8,False,False,129,74,44,True,247,63,True,False,257,False,,,
295575_1,Human rheumatoid arthritis synovial fibroblast apoptosis.sbml,first,complete,242,242,73,169,169,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,312,48,0,True,360,18,82,82,73,9,9,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,9,False,False,114,62,35,True,211,60,True,True,0,False,,,
295575_1,Human rheumatoid arthritis synovial fibroblast apoptosis.sbml,min_degree,complete,242,242,73,169,169,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,312,48,0,True,360,18,82,82,73,9,9,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,9,False,False,100,81,41,True,222,56,True,True,0,False,,,
295575_1,Human rheumatoid arthritis synovial fibroblast apoptosis.sbml,min_growth,complete,242,242,73,169,169,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,312,48,0,True,360,18,82,82,73,9,9,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,9,False,False,95,76,18,True,189,50,True,True,0,False,,,
295575_1,Human rheumatoid arthritis synovial fibroblast apoptosis.sbml,random,complete,242,242,73,169,169,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,312,48,0,True,360,18,82,82,73,9,9,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,9,False,False,159,73,37,True,269,66,True,True,0,False,,,
295574_1,Human rheumatoid arthritis synovial fibroblast five phenotypes.sbml,first,complete,321,321,88,233,233,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,452,63,0,True,515,18,97,97,88,9,9,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,9,False,False,114,62,35,True,211,60,True,True,0,False,,,
295574_1,Human rheumatoid arthritis synovial fibroblast five phenotypes.sbml,min_degree,complete,321,321,88,233,233,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,452,63,0,True,515,18,97,97,88,9,9,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,9,False,False,119,70,41,True,230,60,True,True,0,False,,,
295574_1,Human rheumatoid arthritis synovial fibroblast five phenotypes.sbml,min_growth,complete,321,321,88,233,233,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,452,63,0,True,515,18,97,97,88,9,9,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,9,False,False,95,76,18,True,189,50,True,True,0,False,,,
295574_1,Human rheumatoid arthritis synovial fibroblast five phenotypes.sbml,random,complete,321,321,88,233,233,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,452,63,0,True,515,18,97,97,88,9,9,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,9,False,False,151,49,34,True,234,66,True,True,0,False,,,
49567_1,Virtual chondrocyte - GRN layer,first,complete,60,60,0,60,43,17,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,False,False,101,20,0,True,121,11,5,5,0,5,5,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,5,False,False,6,5,0,True,11,4,True,True,11,False,,,
49567_1,Virtual chondrocyte - GRN layer,min_degree,complete,60,60,0,60,43,17,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,False,False,101,20,0,True,121,11,5,5,0,5,5,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,5,False,False,6,5,0,True,11,4,True,True,11,False,,,
49567_1,Virtual chondrocyte - GRN layer,min_growth,complete,60,60,0,60,43,17,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,False,False,101,20,0,True,121,11,5,5,0,5,5,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,5,False,False,6,5,0,True,11,4,True,True,11,False,,,
49567_1,Virtual chondrocyte - GRN layer,random,complete,60,60,0,60,43,17,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,False,False,101,20,0,True,121,11,5,5,0,5,5,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,5,False,False,6,5,0,True,11,4,True,True,11,False,,,
49566_1,Virtual chondrocyte - PPI layer,first,complete,60,60,0,60,44,16,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,57,28,0,True,85,8,0,0,0,0,0,0,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,0,False,True,0,0,0,False,0,0,True,True,1,True,,,
49566_1,Virtual chondrocyte - PPI layer,min_degree,complete,60,60,0,60,44,16,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,57,28,0,True,85,8,0,0,0,0,0,0,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,0,False,True,0,0,0,False,0,0,True,True,1,True,,,
